# group	lemma	tag	candidate (not in wordlist/en_words.txt)
boring_dull	boring	sup	boringest
boring_dull	boring	sup	(no form)
famous_well_known	famous	cmp	famouser
famous_well_known	famous	cmp	(no form)
famous_well_known	famous	sup	famousest
famous_well_known	famous	sup	(no form)
famous_well_known	well-known	cmp	well-knowner
famous_well_known	well-known	cmp	(no form)
famous_well_known	well-known	sup	well-knownest
famous_well_known	well-known	sup	(no form)
wrong_incorrect	incorrect	cmp	incorrecter
wrong_incorrect	incorrect	cmp	(no form)
wrong_incorrect	incorrect	sup	incorrectest
wrong_incorrect	incorrect	sup	(no form)
fake_false	fake	sup	fakest
fake_false	fake	sup	(no form)
ready_prepared	prepared	cmp	prepareder
ready_prepared	prepared	cmp	preparedder
ready_prepared	prepared	cmp	(no form)
ready_prepared	prepared	sup	preparedest
ready_prepared	prepared	sup	prepareddest
ready_prepared	prepared	sup	(no form)
full_stuffed	stuffed	cmp	stuffeder
full_stuffed	stuffed	cmp	stuffedder
full_stuffed	stuffed	cmp	(no form)
full_stuffed	stuffed	sup	stuffedest
full_stuffed	stuffed	sup	stuffeddest
full_stuffed	stuffed	sup	(no form)
empty_vacant	vacant	cmp	vacanter
empty_vacant	vacant	cmp	(no form)
empty_vacant	vacant	sup	vacantest
empty_vacant	vacant	sup	(no form)
wet_damp_soaked	wet	cmp	weter
wet_damp_soaked	wet	sup	wetest
wet_damp_soaked	soaking wet	cmp	soaking weter
wet_damp_soaked	soaking wet	sup	soaking wetest
wet_damp_soaked	soaked	cmp	soakeder
wet_damp_soaked	soaked	cmp	soakedder
wet_damp_soaked	soaked	cmp	(no form)
wet_damp_soaked	soaked	sup	soakedest
wet_damp_soaked	soaked	sup	soakeddest
wet_damp_soaked	soaked	sup	(no form)
cold_freezing	freezing	cmp	freezinger
cold_freezing	freezing	cmp	(no form)
cold_freezing	freezing	sup	freezingest
cold_freezing	freezing	sup	(no form)
tasty_delicious	delicious	cmp	deliciouser
tasty_delicious	delicious	cmp	(no form)
tasty_delicious	delicious	sup	deliciousest
tasty_delicious	delicious	sup	(no form)
raw_uncooked	uncooked	cmp	uncookeder
raw_uncooked	uncooked	cmp	uncookedder
raw_uncooked	uncooked	cmp	(no form)
raw_uncooked	uncooked	sup	uncookedest
raw_uncooked	uncooked	sup	uncookeddest
raw_uncooked	uncooked	sup	(no form)
smooth_even	even	cmp	evenner
smooth_even	even	sup	evennest
dangerous_risky	dangerous	cmp	dangerouser
dangerous_risky	dangerous	cmp	(no form)
dangerous_risky	dangerous	sup	dangerousest
dangerous_risky	dangerous	sup	(no form)
healthy_fit	fit	cmp	fiter
healthy_fit	fit	sup	fitest
ill_sick_unwell	ill	cmp	iller
ill_sick_unwell	ill	cmp	(no form)
ill_sick_unwell	ill	sup	illest
ill_sick_unwell	ill	sup	(no form)
ill_sick_unwell	unwell	cmp	unweller
ill_sick_unwell	unwell	cmp	(no form)
ill_sick_unwell	unwell	sup	unwellest
ill_sick_unwell	unwell	sup	(no form)
late_delayed	delayed	cmp	delayeder
late_delayed	delayed	cmp	delayedder
late_delayed	delayed	cmp	(no form)
late_delayed	delayed	sup	delayedest
late_delayed	delayed	sup	delayeddest
late_delayed	delayed	sup	(no form)
far_distant	distant	cmp	distanter
far_distant	distant	cmp	(no form)
far_distant	distant	sup	distantest
far_distant	distant	sup	(no form)
ordinary_normal_usual	normal	cmp	normaler
ordinary_normal_usual	normal	cmp	normaller
ordinary_normal_usual	normal	cmp	(no form)
ordinary_normal_usual	normal	sup	normalest
ordinary_normal_usual	normal	sup	normallest
ordinary_normal_usual	normal	sup	(no form)
ordinary_normal_usual	usual	cmp	usualer
ordinary_normal_usual	usual	cmp	(no form)
ordinary_normal_usual	usual	sup	usualest
ordinary_normal_usual	usual	sup	(no form)
rare_unusual	unusual	cmp	unusualer
rare_unusual	unusual	cmp	(no form)
rare_unusual	unusual	sup	unusualest
rare_unusual	unusual	sup	(no form)
rude_impolite	impolite	cmp	impoliter
rude_impolite	impolite	cmp	(no form)
rude_impolite	impolite	sup	impolitest
rude_impolite	impolite	sup	(no form)
shy_timid	timid	cmp	timidder
shy_timid	timid	sup	timiddest
brave_courageous	courageous	cmp	courageouser
brave_courageous	courageous	cmp	(no form)
brave_courageous	courageous	sup	courageousest
brave_courageous	courageous	sup	(no form)
honest_truthful	truthful	cmp	truthfuler
honest_truthful	truthful	cmp	truthfuller
honest_truthful	truthful	cmp	(no form)
honest_truthful	truthful	sup	truthfulest
honest_truthful	truthful	sup	truthfullest
honest_truthful	truthful	sup	(no form)
lucky_fortunate	fortunate	cmp	fortunater
lucky_fortunate	fortunate	cmp	(no form)
lucky_fortunate	fortunate	sup	fortunatest
lucky_fortunate	fortunate	sup	(no form)
jealous_envious	jealous	cmp	jealouser
jealous_envious	jealous	cmp	(no form)
jealous_envious	jealous	sup	jealousest
jealous_envious	jealous	sup	(no form)
jealous_envious	envious	cmp	enviouser
jealous_envious	envious	cmp	(no form)
jealous_envious	envious	sup	enviousest
jealous_envious	envious	sup	(no form)
look_like_resemble	resemble	ing	resembleing
look_like_resemble	take after	ing	takeing after
go_on_happen	happen	past	happenned
go_on_happen	happen	pp	happenned
go_on_happen	happen	ing	happenning
put_up_with_tolerate	put up with	ing	puting up with
put_up_with_tolerate	tolerate	ing	tolerateing
get_on_get_along	get on	ing	geting on
get_on_get_along	get along	ing	geting along
run_out_of	run out of	ing	runing out of
run_out_of	use up	ing	useing up
come_across_find	come across	ing	comeing across
come_across_find	stumble upon	ing	stumbleing upon
put_down_lower	put down	ing	puting down
put_down_lower	set down	ing	seting down
hand_in_submit	submit	past	submited
hand_in_submit	submit	pp	submited
hand_in_submit	submit	ing	submiting
fill_in_complete	complete	ing	completeing
get_back_return	get back	ing	geting back
get_back_return	come back	ing	comeing back
take_back_return	take back	ing	takeing back
turn_into_become	become	ing	becomeing
throw_away_out	get rid of	ing	geting rid of
get_rid_of_remove	get rid of	ing	geting rid of
get_rid_of_remove	remove	ing	removeing
cut_down_reduce	cut down on	ing	cuting down on
cut_down_reduce	reduce	ing	reduceing
break_in_burgle	burgle	ing	burgleing
blow_up_inflate	inflate	ing	inflateing
make_up_invent	make up	ing	makeing up
look_into_investigate	investigate	ing	investigateing
come_up_rise	come up	ing	comeing up
come_up_rise	rise	ing	riseing
go_down_set	set	ing	seting
glue_stick	glue	ing	glueing
hang_dangle	dangle	ing	dangleing
drip_leak	drip	past	driped
drip_leak	drip	pp	driped
drip_leak	drip	ing	driping
sprinkle_scatter	sprinkle	ing	sprinkleing
sprinkle_scatter	scatter	past	scatterred
sprinkle_scatter	scatter	pp	scatterred
sprinkle_scatter	scatter	ing	scatterring
peel_skin	skin	past	skined
peel_skin	skin	pp	skined
peel_skin	skin	ing	skining
grate_shred	grate	ing	grateing
grate_shred	shred	past	shreded
grate_shred	shred	pp	shreded
grate_shred	shred	ing	shreding
bake_roast	bake	ing	bakeing
limp_hobble	hobble	ing	hobbleing
slip_slide	slip	past	sliped
slip_slide	slip	pp	sliped
slip_slide	slip	ing	sliping
slip_slide	slide	ing	slideing
drag_haul	drag	past	draged
drag_haul	drag	pp	draged
drag_haul	drag	ing	draging
shut_up_be_quiet	shut up	ing	shuting up
decorate_do_up	decorate	ing	decorateing
chew_bite	bite	ing	biteing
sip_drink	sip	past	siped
sip_drink	sip	pp	siped
sip_drink	sip	ing	siping
pet_stroke	pet	past	peted
pet_stroke	pet	pp	peted
pet_stroke	pet	ing	peting
pet_stroke	stroke	ing	strokeing
rub_massage	rub	past	rubed
rub_massage	rub	pp	rubed
rub_massage	rub	ing	rubing
rub_massage	massage	ing	massageing
combination_combo	combo	pl	comboes
doctor_gp	gp	pl	gps
doctor_gp	gp	pl	(no form)
