concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
2686	A	34741	A1	3
2686	A	34744	A2	16
2687	A	34750	A1	9
2687	A	34754	A2	13
2688	A	34759	A1	9
2688	A	34760	A2	12
2689	A	34768	A1	3
2689	A	34775	A2	26
2690	A	34780	A1	10
2690	A	34784	A2	16
2692	A	34799	A1	11
2692	A	34800	A2	19
2693	A	34804	A1	3
2693	A	34809	A2	23
2695	A	34823	A1	4
2695	A	34826	A2	13
2696	A	34833	A1	9
2696	A	34835	A2	13
2700	A	34870	A1	9
2700	A	34871	A2	12
2701	A	34876	A1	3
2701	A	34879	A2	12
2702	A	34887	A1	10
2702	A	34889	A2	19
2703	A	34894	A1	2
2705	A	34905	A1	1
2705	A	34912	A2	26
2706	A	34920	A1	11
2706	A	34921	A2	12
2707	A	34923	A1	3
2707	A	34927	A2	18
2709	A	34943	A1	4
2711	A	34959	A1	10
2711	A	34962	A2	17
2712	A	34970	A2	17
2713	A	34977	A1	4
2713	A	34979	A2	12
2716	A	35004	A1	1
2716	A	35006	A2	12
2717	A	35013	A1	1
2717	A	35017	A2	18
2718	A	35022	A1	3
2718	A	35026	A2	13
2725	A	35085	A1	6
2730	A	35125	A1	10
2730	A	35129	A2	14
2731	A	35136	A2	18
2733	A	35152	A1	9
2733	A	35156	A2	24
2736	A	35178	A1	11
2736	A	35184	A2	17
2737	A	35186	A1	1
2737	A	35191	A2	18
2740	A	35213	A1	7
2742	A	35224	A1	2
2742	A	35228	A2	21
2743	A	35233	A1	9
2745	A	35244	A1	3
2747	A	35256	A1	9
2747	A	35262	A2	25
2748	A	35265	A1	9
2748	A	35266	A2	12
2749	A	35277	A1	8
2749	A	35278	A2	19
2750	A	35282	A1	2
2750	A	35288	A2	20
2751	A	35294	A1	9
2751	A	35298	A2	26
2752	A	35303	A1	8
2752	A	35307	A2	20
2753	A	35309	A2	23
2756	A	35329	A2	26
2758	A	35340	A1	1
2758	A	35341	A2	15
2759	A	35349	A1	9
2759	A	35350	A2	12
2761	A	35372	A1	10
2761	A	35373	A2	20
2762	A	35377	A1	3
2762	A	35381	A2	22
2763	A	35386	A1	3
2763	A	35392	A2	26
2764	A	35396	A1	9
2764	A	35397	A2	12
2765	A	35403	A2	21
2768	A	35427	A1	10
2768	A	35430	A2	13
2769	A	35432	A2	18
2771	A	35447	A2	16
2773	A	35461	A2	24
2774	A	35463	A2	16
2775	A	35470	A2	17
2778	A	35493	A1	4
2778	A	35497	A2	23
2779	A	35501	A1	3
2779	A	35508	A2	26
2781	A	35523	A1	8
2781	A	35526	A2	21
2783	A	35541	A2	20
2784	A	35548	A2	16
2785	A	35558	A1	8
2785	A	35562	A2	16
2786	A	35564	A1	1
2786	A	35567	A2	13
2788	A	35582	A1	2
2788	A	35589	A2	16
2790	A	35603	A1	7
2790	A	35605	A2	19
2791	A	35609	A1	3
2791	A	35615	A2	24
2792	A	35621	A1	8
2792	A	35625	A2	21
2799	A	35681	A1	1
2799	A	35687	A2	25
2800	A	35690	A1	5
2800	A	35697	A2	20
2802	A	35708	A1	3
2804	A	35719	A1	1
2804	A	35723	A2	15
2807	A	35746	A1	5
2807	A	35752	A2	19
2808	A	35761	A2	24
2810	A	35776	A1	10
2810	A	35780	A2	21
2811	A	35782	A1	3
2811	A	35789	A2	21
2812	A	35792	A1	4
2812	A	35795	A2	21
2815	A	35823	A1	11
2815	A	35825	A2	15
2816	A	35827	A2	23
2817	A	35829	A2	19
2818	A	35831	A2	17
2820	A	35844	A1	9
2820	A	35848	A2	24
2821	A	35851	A1	2
2822	A	35853	A1	1
2822	A	35854	A2	15
2823	A	35862	A1	1
2823	A	35865	A2	22
2825	A	35881	A1	11
2825	A	35886	A2	23
2826	A	35889	A1	1
2826	A	35893	A2	15
2830	A	35925	A1	2
2830	A	35932	A2	26
2831	A	35934	A1	6
2831	A	35941	A2	13
2834	A	35964	A1	10
2834	A	35966	A2	19
2835	A	35974	A1	6
2835	A	35977	A2	21
2837	A	35988	A1	11
2837	A	35991	A2	18
2838	A	35997	A1	3
2838	A	36003	A2	24
2840	A	36015	A1	2
2840	A	36022	A2	26
2842	A	36033	A1	10
2846	A	36064	A1	6
2846	A	36069	A2	21
2847	A	36072	A1	3
2847	A	36078	A2	26
2848	A	36082	A1	6
2848	A	36087	A2	21
2850	A	36099	A1	4
2850	A	36101	A2	17
2851	A	36110	A1	5
2851	A	36111	A2	19
2852	A	36116	A1	4
2853	A	36124	A2	18
2857	A	36154	A1	1
2857	A	36155	A2	12
2858	A	36163	A1	11
2860	A	36176	A1	8
2860	A	36179	A2	19
2863	A	36202	A1	8
2863	A	36205	A2	19
2864	A	36211	A1	4
2864	A	36216	A2	24
2866	A	36229	A1	5
2866	A	36235	A2	21
2867	A	36237	A2	12
2870	A	36257	A1	9
2873	A	36280	A2	15
2875	A	36295	A2	14
2878	A	36315	A2	26
2879	A	36322	A2	23
2880	A	36326	A2	12
2881	A	36335	A1	9
2882	A	36341	A1	8
2882	A	36344	A2	16
2885	A	36369	A2	19
2886	A	36374	A1	3
2886	A	36380	A2	25
2891	A	36420	A1	9
2891	A	36423	A2	23
2893	A	36440	A2	18
2894	A	36445	A1	3
2896	A	36456	A1	2
2896	A	36462	A2	24
2899	A	36485	A1	4
2899	A	36488	A2	21
2901	A	36506	A1	10
2901	A	36508	A2	12
2902	A	36510	A1	1
2902	A	36516	A2	24
2903	A	36523	A1	8
2903	A	36526	A2	19
2905	B	36538	B1	32
2905	B	36542	B2	57
2906	B	36550	B1	36
2906	B	36557	B2	51
2907	B	36563	B1	45
2907	B	36568	B2	50
2908	B	36585	B2	60
2909	B	36589	B1	38
2910	B	36592	B1	36
2911	B	36596	B1	38
2912	B	36610	B1	33
2912	B	36618	B2	66
2913	B	36628	B1	38
2913	B	36631	B2	66
2915	B	36652	B1	40
2917	B	36673	B2	51
2918	B	36687	B1	37
2918	B	36696	B2	66
2919	B	36702	B1	39
2919	B	36709	B2	62
2920	B	36717	B1	38
2921	B	36733	B1	48
2921	B	36735	B2	50
2922	B	36739	B1	33
2922	B	36748	B2	62
2923	B	36760	B2	64
2924	B	36773	B1	46
2925	B	36781	B1	35
2925	B	36786	B2	66
2929	B	36832	B1	39
2930	B	36842	B1	31
