concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
3435	B	42377	B1	47
3436	B	42381	B1	37
3436	B	42389	B2	65
3439	B	42421	B1	49
3439	B	42423	B2	51
3440	B	42436	B2	57
3442	B	42459	B1	33
3443	B	42471	B1	37
3444	B	42481	B1	46
3446	B	42500	B1	41
3447	B	42505	B1	33
3447	B	42509	B2	59
3448	B	42516	B1	32
3451	B	42545	B1	34
3452	B	42554	B2	61
3453	B	42564	B1	45
3453	B	42570	B2	65
3454	B	42574	B1	36
3455	B	42577	B1	39
3456	B	42583	B1	44
3456	B	42589	B2	50
3457	B	42597	B2	54
3458	B	42609	B1	34
3458	B	42616	B2	67
3459	B	42619	B1	31
3459	B	42623	B2	61
3461	B	42650	B1	40
3462	B	42658	B1	31
3462	B	42668	B2	67
3463	B	42673	B1	34
3466	B	42710	B2	63
3467	B	42715	B1	33
3467	B	42721	B2	62
3468	B	42726	B2	50
3469	B	42734	B1	36
3469	B	42738	B2	65
3470	B	42742	B1	36
3472	B	42759	B1	38
3473	B	42778	B2	59
3474	B	42785	B1	38
3475	B	42803	B1	41
3475	B	42805	B2	65
